FileName,Interested,Irritable,Distressed,Alert,Excited,Ashamed,Upset,Inspired,Strong,Nervous,Guilty,Determined,Scared,Attentive,Hostile,Jittery,Enthusiastic,Active,Proud,Afraid,SubmissionTime,Approximately when did you start feeling these emotions?
MERSA_101_01_001,3,3,3,3,3,3,3,3,2,4,5,3,3,3,3,3,2,4,3,4,4/6/2023 18:42,18:00:00
MERSA_101_02_001,2,3,3,3,3,3,4,3,2,4,3,3,4,3,3,3,2,2,3,4,4/4/2023 11:47,10:00:00
MERSA_101_03_001,4,2,2,4,4,1,1,4,4,1,2,4,2,4,1,2,4,4,4,2,3/30/2023 16:57,14:00:00
MERSA_101_04_001,3,2,4,4,3,3,3,3,3,5,4,3,4,3,3,3,3,2,3,4,4/5/2023 12:22,11:00:00
MERSA_101_05_001,2,4,4,3,1,3,3,2,2,1,3,2,3,2,3,3,2,1,3,3,4/12/2023 11:43,8:00:00
MERSA_101_06_001,2,4,4,4,1,4,4,2,2,5,5,2,5,3,3,3,3,2,2,5,4/10/2023 11:53,9:00:00
MERSA_101_07_001,2,2,4,2,1,4,5,1,1,5,3,2,5,2,2,2,2,2,2,5,4/3/2023 19:03,17:00:00
MERSA_101_08_001,2,3,3,3,2,3,3,3,2,4,3,3,4,3,3,3,3,2,3,3,4/10/2023 19:47,19:00:00
MERSA_101_09_001,4,2,2,4,4,2,2,4,4,4,3,4,3,3,3,3,4,4,4,3,4/16/2023 11:37,9:00:00
MERSA_101_10_001,3,3,3,4,2,4,4,2,2,5,4,3,4,2,3,3,3,1,3,4,4/19/2023 11:15,9:00:00
MERSA_101_11_001,4,2,2,4,4,1,1,5,4,2,2,4,1,4,3,3,5,5,3,3,4/13/2023 11:46,11:00:00
MERSA_101_12_001,4,2,1,4,5,2,1,5,5,4,2,4,4,4,2,2,5,5,5,2,4/18/2023 17:47,15:00:00
MERSA_108_01_001,5,1,1,5,3,5,1,5,5,1,4,5,1,5,1,1,5,5,1,1,4/6/2023 23:49,15:15:00
MERSA_108_02_001,1,5,5,5,1,1,1,5,1,1,1,5,1,1,5,5,1,5,1,1,4/4/2023 23:22,14:00:00
MERSA_108_03_001,1,5,5,5,1,1,5,1,1,1,1,1,1,5,5,5,1,1,1,1,4/2/2023 21:18,21:00:00
MERSA_108_04_001,5,4,2,5,5,4,1,5,5,2,1,5,1,5,1,1,5,5,5,1,3/22/2023 20:21,17:50:00
MERSA_108_05_001,1,5,5,5,1,5,5,5,1,1,4,4,1,5,1,5,1,5,1,1,4/3/2023 22:12,13:00:00
MERSA_108_06_001,5,1,1,5,4,1,1,5,5,1,1,5,1,5,1,5,3,1,5,1,4/9/2023 22:00,15:40:00
MERSA_108_07_001,5,1,1,1,5,1,1,5,5,1,1,5,1,5,1,1,1,5,5,1,3/31/2023 23:25,16:00:00
MERSA_108_08_001,5,1,2,1,5,1,2,5,5,1,1,5,1,5,1,1,5,5,5,1,3/25/2023 23:15,14:00:00
MERSA_108_09_001,5,1,1,1,5,1,1,5,5,1,1,5,1,5,1,1,5,5,5,1,3/27/2023 23:01,13:00:00
MERSA_108_10_001,5,1,1,1,5,1,1,5,5,1,1,5,1,5,1,3,4,5,5,1,3/23/2023 22:39,22:30:00
MERSA_108_11_001,5,1,1,1,5,1,1,5,5,2,1,5,1,5,1,3,5,5,5,1,4/10/2023 23:59,16:00:00
MERSA_108_12_001,1,5,5,5,1,1,5,5,5,1,1,5,1,5,1,5,5,5,5,1,4/2/2023 1:01,0:50:00
MERSA_108_13_001,1,1,2,5,1,1,3,1,4,4,1,4,1,5,1,5,1,2,2,1,3/26/2023 22:12,18:00:00
MERSA_108_14_001,3,1,1,5,1,1,4,3,1,1,1,5,1,4,1,1,1,5,3,1,3/24/2023 23:08,20:00:00
MERSA_108_15_001,1,5,4,1,1,1,5,1,1,1,1,1,1,5,5,1,1,5,1,1,3/28/2023 22:04,16:40:00
MERSA_108_16_001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4/5/2023 23:50,16:30:00
MERSA_108_17_001,4,5,5,5,1,1,1,1,1,5,1,3,1,5,1,5,1,1,1,1,3/29/2023 23:21,17:10:00
MERSA_108_18_001,5,1,1,5,3,1,1,5,5,1,1,5,1,5,1,1,5,5,1,1,4/11/2023 22:27,14:00:00
MERSA_108_19_001,5,1,1,1,5,1,1,5,5,1,1,5,1,5,4,4,4,1,5,1,4/9/2023 1:28,23:00:00
MERSA_117_01_001,5,5,4,3,3,3,3,3,3,5,2,2,2,2,4,4,3,4,3,2,4/24/2023 15:56,8:00:00
MERSA_117_02_001,5,1,1,1,3,1,1,5,5,1,2,5,1,1,1,1,5,3,3,3,4/15/2023 12:22,7:00:00
MERSA_117_03_001,5,1,1,1,5,1,1,5,5,1,1,5,1,4,1,1,5,4,4,1,4/20/2023 17:50,6:00:00
MERSA_117_04_001,4,1,1,1,5,1,1,5,5,5,1,5,4,4,1,1,5,5,5,5,4/25/2023 10:53,8:00:00
MERSA_117_05_001,5,1,1,1,1,1,2,5,5,1,1,5,1,5,1,1,5,3,3,3,4/6/2023 15:55,8:00:00
MERSA_117_06_001,5,1,3,2,5,2,2,5,5,2,1,5,4,5,2,2,5,4,4,2,3/29/2023 14:40,8:40:00
MERSA_128_01_001,4,1,1,2,3,1,2,4,4,1,1,4,1,3,1,1,3,3,3,1,4/2/2023 14:20,14:11:00
MERSA_128_02_001,4,2,2,4,3,1,1,3,4,1,1,3,2,4,4,1,3,4,3,1,5/4/2023 1:44,0:05:00
MERSA_128_03_001,2,3,4,3,2,2,3,1,2,3,1,2,3,2,3,4,2,2,2,3,4/20/2023 0:45,22:00:00
MERSA_128_04_001,4,1,1,2,4,1,1,4,4,1,1,4,1,4,1,1,4,4,1,1,4/23/2023 14:44,11:04:00
MERSA_128_05_001,4,2,1,3,3,1,1,4,4,1,1,4,1,3,1,3,4,3,3,1,4/22/2023 10:21,10:05:00
MERSA_128_06_001,3,1,1,5,4,1,1,3,4,3,1,4,3,5,1,1,4,5,3,3,3/30/2023 15:17,15:00:00
MERSA_128_07_001,2,3,4,4,4,3,4,2,3,5,4,4,4,4,3,2,2,4,1,5,4/16/2023 4:19,10:00:00
MERSA_128_08_001,3,4,5,2,2,1,3,3,2,2,2,4,1,2,1,4,2,3,3,1,4/6/2023 10:55,22:00:00
MERSA_144_01_001,4,2,3,2,1,3,1,1,1,2,3,2,1,2,1,1,1,1,1,1,4/12/2023 23:38,21:00:00
MERSA_144_02_001,3,1,2,4,2,1,1,5,5,1,1,5,1,5,2,1,4,5,5,1,4/27/2023 22:37,13:00:00
MERSA_144_03_001,3,1,1,3,3,1,1,3,4,1,1,5,1,4,1,1,5,3,4,1,4/14/2023 22:20,18:00:00
MERSA_144_04_001,5,1,3,4,1,1,2,4,3,1,1,2,1,5,1,1,3,2,5,1,3/19/2023 23:15,na
MERSA_144_05_001,1,1,4,4,1,2,1,1,3,4,3,1,1,3,1,3,1,2,1,2,4/13/2023 21:53,17:00:00
MERSA_144_06_001,4,2,2,3,2,1,1,3,2,1,1,3,1,3,1,1,1,1,1,1,4/5/2023 21:38,21:30:00
MERSA_144_07_001,1,2,1,3,1,1,1,2,3,1,1,3,1,3,1,1,2,2,1,1,4/19/2023 21:36,15:30:00
MERSA_144_08_001,3,1,1,3,1,1,1,1,3,1,1,1,1,3,1,1,1,2,1,1,3/22/2023 23:13,22:00:00
MERSA_161_01_001,1,5,5,3,1,5,5,1,1,5,5,1,5,3,5,5,1,3,1,5,4/21/2023 21:21,21:21:00
MERSA_161_02_001,1,5,5,4,3,5,5,3,3,5,5,5,4,3,5,1,1,1,1,5,3/24/2023 23:53,23:51:00
MERSA_161_03_001,1,5,5,3,1,5,5,1,3,3,5,3,5,3,5,1,2,1,1,5,5/2/2023 20:31,20:30:00
MERSA_161_04_001,1,5,5,3,1,5,5,1,1,5,5,1,5,1,5,1,3,2,1,5,5/9/2023 21:19,21:18:00
MERSA_161_05_001,1,5,5,3,1,5,5,1,1,5,5,3,5,3,5,1,4,3,1,5,4/22/2023 23:10,22:03:00
MERSA_161_06_001,5,1,1,5,5,3,3,5,5,1,5,5,2,5,1,1,5,5,3,1,5/12/2023 21:30,21:25:00
MERSA_161_07_001,1,4,5,4,4,5,5,3,4,5,5,3,5,4,5,1,3,3,5,5,3/22/2023 17:23,17:20:00
MERSA_161_08_001,3,3,1,3,3,5,5,3,3,5,5,3,3,3,5,3,3,3,3,5,4/24/2023 15:24,15:22:00
MERSA_161_09_001,5,1,5,5,5,5,1,5,4,1,3,5,2,3,5,1,3,1,5,5,5/3/2023 19:47,19:44:00
MERSA_161_10_001,1,5,5,3,2,5,5,3,3,1,3,5,3,3,5,1,4,2,4,3,5/5/2023 20:53,20:52:00
MERSA_161_11_001,2,5,3,3,2,5,2,2,5,5,5,3,3,3,5,2,1,5,5,5,5/16/2023 20:35,20:34:00
MERSA_161_12_001,5,1,3,3,5,3,4,5,5,5,3,5,3,5,5,3,5,5,3,5,5/10/2023 9:30,9:29:00
MERSA_161_13_001,4,1,5,5,4,5,5,3,4,5,5,5,3,3,5,5,5,5,3,5,4/20/2023 18:10,18:08:00
MERSA_161_14_001,3,2,5,3,1,5,5,2,3,5,5,3,5,2,5,1,1,3,1,5,4/27/2023 20:41,20:39:00
MERSA_161_15_001,3,1,3,3,1,5,5,3,2,5,5,3,3,3,5,3,1,4,5,5,4/23/2023 22:17,22:17:00
MERSA_161_16_001,3,5,5,3,3,5,5,3,3,5,5,3,5,3,5,3,3,2,2,3,4/28/2023 18:56,18:55:00
MERSA_161_17_001,2,5,5,4,2,5,5,2,2,5,5,3,5,3,3,1,3,3,2,4,3/22/2023 10:07,10:05:00
MERSA_161_18_001,1,4,5,3,1,5,4,3,2,3,4,4,5,1,5,1,3,3,1,5,3/21/2023 8:56,7:01:00
MERSA_163_01_001,3,2,4,5,2,2,4,1,3,4,1,2,3,4,1,1,1,3,1,3,3/23/2023 23:34,20:00:00
MERSA_163_02_001,4,1,1,5,2,1,1,5,5,1,1,5,1,5,1,1,2,5,5,1,3/21/2023 23:19,19:30:00
MERSA_163_03_001,5,1,1,5,4,1,1,4,3,1,1,4,1,5,1,1,4,3,3,1,3/15/2023 23:51,21:00:00
MERSA_163_04_001,4,1,1,4,3,2,1,2,2,1,2,1,3,5,1,1,2,1,1,2,3/24/2023 23:29,22:00:00
MERSA_163_05_001,3,1,1,5,1,1,1,1,1,1,1,4,1,5,1,1,1,2,4,1,3/28/2023 23:27,18:00:00
MERSA_163_06_001,2,1,1,4,1,1,1,2,1,1,1,4,1,4,1,1,1,1,3,1,3/26/2023 23:33,21:30:00
MERSA_163_07_001,3,1,1,4,3,1,1,1,2,1,1,4,1,5,1,1,3,3,2,1,3/22/2023 23:58,20:00:00
MERSA_163_08_001,3,1,1,4,2,1,1,1,1,1,1,2,1,4,1,1,2,1,2,1,3/27/2023 23:53,21:00:00
MERSA_163_09_001,3,1,1,4,1,1,1,1,1,1,1,3,1,5,1,1,1,1,1,1,3/25/2023 23:13,18:00:00
MERSA_174_01_001,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3/21/2023 20:12,19:55:00
MERSA_174_02_001,3,1,1,3,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,3/20/2023 19:17,16:35:00
MERSA_174_03_001,1,1,3,1,1,1,2,3,1,1,1,4,1,4,1,1,1,1,2,1,3/16/2023 18:57,na
MERSA_174_04_001,1,1,1,3,1,2,1,1,1,1,2,1,1,2,1,3,1,1,1,1,3/26/2023 21:48,21:46:00
MERSA_174_05_001,3,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,3/27/2023 21:05,18:10:00
MERSA_174_06_001,1,1,2,3,1,1,1,3,1,2,1,4,1,3,1,2,1,1,2,1,3/19/2023 18:03,na
MERSA_174_07_001,1,2,1,1,1,1,2,1,1,1,1,2,1,3,1,2,1,1,1,1,3/15/2023 18:52,na
MERSA_174_08_001,4,1,1,2,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,3/28/2023 22:04,19:10:00
MERSA_174_09_001,1,2,2,3,1,2,2,1,1,1,2,1,1,3,1,2,1,1,2,1,3/29/2023 21:27,0:20:00
MERSA_177_01_001,1,3,5,5,1,1,3,1,2,5,1,5,3,5,1,3,1,3,1,1,3/25/2023 22:59,22:00:00
MERSA_177_02_001,5,1,1,5,5,1,1,1,1,5,1,1,5,5,1,5,3,1,1,5,3/23/2023 22:40,22:00:00
MERSA_177_03_001,1,3,5,5,1,1,2,1,1,5,1,5,5,5,1,5,1,1,1,5,3/29/2023 22:39,20:10:00
MERSA_177_04_001,4,1,3,4,5,1,1,1,1,4,1,1,3,5,1,3,4,1,1,1,3/21/2023 22:57,22:50:00
MERSA_177_05_001,4,1,1,4,2,1,1,1,2,1,1,2,1,5,1,2,3,1,1,2,3/18/2023 22:09,na
MERSA_177_06_001,3,1,1,3,5,1,1,1,4,1,1,4,1,4,1,3,4,1,4,1,3/20/2023 23:05,15:00:00
MERSA_177_07_001,4,4,1,1,3,1,3,1,1,1,1,1,1,2,1,1,2,1,1,1,3/28/2023 21:56,21:00:00
MERSA_177_08_001,4,1,1,2,2,1,1,2,2,1,1,2,1,3,1,1,4,3,2,1,3/27/2023 22:56,22:30:00
MERSA_177_09_001,2,2,3,1,1,1,2,1,1,2,1,2,3,1,1,2,1,1,1,2,3/19/2023 21:57,na
MERSA_177_10_001,4,1,1,3,5,1,1,1,2,1,1,2,1,4,1,3,5,1,3,1,3/24/2023 22:48,22:00:00
MERSA_177_11_001,1,2,5,5,2,1,2,1,3,4,1,3,1,5,1,3,1,3,2,2,3/15/2023 22:55,na
MERSA_190_01_001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3/15/2023 23:09,na
MERSA_190_02_001,2,2,1,1,3,1,1,3,3,1,1,2,1,3,1,1,3,1,3,3,3/18/2023 22:34,na
MERSA_190_03_001,3,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3/21/2023 22:30,13:06:00
MERSA_190_04_001,1,1,5,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3/20/2023 21:26,14:00:00
MERSA_191_01_001,2,2,3,2,2,3,3,3,3,3,1,4,2,3,1,1,1,3,2,3,7/25/2023 23:51,23:00:00
MERSA_191_02_001,3,1,1,3,3,1,1,3,3,2,1,3,1,3,1,1,1,3,3,1,7/27/2023 0:03,21:00:00
MERSA_191_03_001,3,1,1,3,3,1,1,3,3,1,1,3,1,3,1,1,2,3,2,1,7/29/2023 22:49,15:00:00
MERSA_191_04_001,3,1,1,3,2,1,1,2,3,1,1,3,1,3,1,1,2,3,2,1,7/31/2023 0:02,20:00:00
MERSA_191_05_001,2,1,2,3,3,1,1,3,4,2,1,3,1,3,1,1,2,3,3,1,7/19/2023 23:19,21:00:00
MERSA_191_06_001,3,1,1,3,3,1,1,3,4,1,1,3,1,3,1,1,3,3,3,1,7/19/2023 0:09,18:00:00
MERSA_191_07_001,3,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,1,1,7/22/2023 0:06,21:00:00
MERSA_191_08_001,3,1,1,2,2,1,1,4,3,1,1,3,1,4,1,1,4,4,2,1,7/24/2023 23:34,20:00:00
MERSA_191_09_001,2,1,1,1,2,1,1,2,2,1,1,2,1,2,1,1,3,3,1,1,7/22/2023 23:27,20:00:00
MERSA_191_10_001,3,1,1,3,2,1,1,3,3,2,1,2,1,2,1,1,1,3,2,1,7/20/2023 22:29,11:00:00
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
